source,target
906093,267649039
267649039,959605
959605,267649039
267649039,1050481
1050481,267649039
267649039,1374166
1374166,267649039
267649039,1406831
1406831,267649039
267649039,1493552
1493552,267649039
267649039,1593751
1593751,267649039
267649039,1650613
1650613,267649039
267649039,1836110
1836110,267649039
267649039,2118774
2118774,267649039
267649039,2374056
2374056,267649039
267649039,2406949
2406949,267649039
267649039,2442960
2442960,267649039
267649039,2605360
2605360,267649039
267649039,2743347
2743347,267649039
267649039,3211168
3211168,267649039
267649039,3262029
3262029,267649039
267649039,3264102
3264102,267649039
267649039,3331987
3331987,267649039
267649039,3424070
3424070,267649039
267649039,3802118
3802118,267649039
267649039,3961866
3961866,267649039
267649039,4133634
4133634,267649039
267649039,4321554
4321554,267649039
267649039,4484619
4484619,267649039
267649039,4561675
4561675,267649039
267649039,4561900
4561900,267649039
267649039,4631085
4631085,267649039
267649039,4721519
4721519,267649039
267649039,4865851
4865851,267649039
267649039,4885640
4885640,267649039
267649039,5076028
5076028,267649039
267649039,5126850
5126850,267649039
267649039,5226838
5226838,267649039
267649039,5234218
5234218,267649039
267649039,5341681
5341681,267649039
267649039,5395629
5395629,267649039
267649039,5434469
5434469,267649039
267649039,6127326
6127326,267649039
267649039,6327167
6327167,267649039
267649039,6358190
6358190,267649039
267649039,6422595
6422595,267649039
267649039,6554742
6554742,267649039
267649039,6650435
6650435,267649039
267649039,6684068
6684068,267649039
267649039,6796365
6796365,267649039
267649039,6948455
6948455,267649039
267649039,7028292
7028292,267649039
267649039,7043575
7043575,267649039
267649039,7075534
7075534,267649039
267649039,7080846
7080846,267649039
267649039,7093265
7093265,267649039
267649039,7195230
7195230,267649039
267649039,7504951
7504951,267649039
267649039,7511628
7511628,267649039
267649039,7659758
7659758,267649039
267649039,7763716
7763716,267649039
267649039,7836461
7836461,267649039
267649039,8087651
8087651,267649039
267649039,8195851
8195851,267649039
267649039,8199014
8199014,267649039
267649039,8351433
8351433,267649039
267649039,8393349
8393349,267649039
267649039,8398301
8398301,267649039
267649039,8633372
8633372,267649039
267649039,8633419
8633419,267649039
267649039,8652976
8652976,267649039
267649039,8698773
8698773,267649039
267649039,8902636
8902636,267649039
267649039,9267959
9267959,267649039
267649039,9746378
9746378,267649039
267649039,10077075
10077075,267649039
267649039,10132440
10132440,267649039
267649039,10256018
10256018,267649039
267649039,10269391
10269391,267649039
267649039,10471778
10471778,267649039
267649039,11194300
11194300,267649039
267649039,11211860
11211860,267649039
267649039,11249452
11249452,267649039
267649039,11316447
11316447,267649039
267649039,11567624
11567624,267649039
267649039,11577167
11577167,267649039
267649039,11784616
11784616,267649039
267649039,11840746
11840746,267649039
267649039,12066742
12066742,267649039
267649039,12706515
12706515,267649039
267649039,12716285
12716285,267649039
267649039,12862569
12862569,267649039
267649039,12958438
12958438,267649039
267649039,13428042
13428042,267649039
267649039,13478687
13478687,267649039
267649039,13501699
13501699,267649039
267649039,13788699
13788699,267649039
267649039,13945608
13945608,267649039
267649039,14006894
14006894,267649039
267649039,14157390
14157390,267649039
267649039,14279351
14279351,267649039
267649039,14413099
14413099,267649039
267649039,14461881
14461881,267649039
267649039,15053730
15053730,267649039
267649039,15220929
15220929,267649039
267649039,15627179
15627179,267649039
267649039,15759722
15759722,267649039
267649039,16134653
16134653,267649039
267649039,16182407
16182407,267649039
267649039,16251515
16251515,267649039
267649039,16318694
16318694,267649039
267649039,16551395
16551395,267649039
267649039,16605490
16605490,267649039
267649039,16804145
16804145,267649039
267649039,17093609
17093609,267649039
267649039,17095155
17095155,267649039
267649039,17289536
17289536,267649039
267649039,17293134
17293134,267649039
267649039,17833414
17833414,267649039
267649039,18057762
18057762,267649039
267649039,18249543
18249543,267649039
267649039,18625410
18625410,267649039
267649039,18775748
18775748,267649039
267649039,18898687
18898687,267649039
267649039,19031979
19031979,267649039
267649039,19283626
19283626,267649039
267649039,19486472
19486472,267649039
267649039,19808980
19808980,267649039
267649039,20087077
20087077,267649039
267649039,20664695
20664695,267649039
267649039,20750330
20750330,267649039
267649039,20922308
20922308,267649039
267649039,21201804
21201804,267649039
267649039,21694521
21694521,267649039
267649039,21699808
21699808,267649039
267649039,21771942
21771942,267649039
267649039,21779782
21779782,267649039
267649039,21816279
21816279,267649039
267649039,22304913
22304913,267649039
267649039,22417043
22417043,267649039
267649039,22546976
22546976,267649039
267649039,22570928
22570928,267649039
267649039,22846875
22846875,267649039
267649039,23161522
23161522,267649039
267649039,23236831
23236831,267649039
267649039,23301111
23301111,267649039
267649039,23461261
23461261,267649039
267649039,24090946
24090946,267649039
267649039,24093576
24093576,267649039
267649039,24158741
24158741,267649039
267649039,24256940
24256940,267649039
267649039,24521153
24521153,267649039
267649039,24784791
24784791,267649039
267649039,25774139
25774139,267649039
267649039,25846211
25846211,267649039
267649039,25862438
25862438,267649039
267649039,26000687
26000687,267649039
267649039,26095118
26095118,267649039
267649039,26325305
26325305,267649039
267649039,26514942
26514942,267649039
267649039,26595009
26595009,267649039
267649039,26701017
26701017,267649039
267649039,26798795
26798795,267649039
267649039,26826820
26826820,267649039
267649039,27005436
27005436,267649039
267649039,27243605
27243605,267649039
267649039,27563416
27563416,267649039
267649039,28291488
28291488,267649039
267649039,28339459
28339459,267649039
267649039,28389902
28389902,267649039
267649039,28421017
28421017,267649039
267649039,28432812
28432812,267649039
267649039,28720034
28720034,267649039
267649039,28955786
28955786,267649039
267649039,29244985
29244985,267649039
267649039,29267454
29267454,267649039
267649039,29281481
29281481,267649039
267649039,29445991
29445991,267649039
267649039,29469491
29469491,267649039
267649039,29630355
29630355,267649039
267649039,29881632
29881632,267649039
267649039,29933014
29933014,267649039
267649039,30009870
30009870,267649039
267649039,30300728
30300728,267649039
267649039,30477170
30477170,267649039
267649039,30521813
30521813,267649039
267649039,30591830
30591830,267649039
267649039,30654179
30654179,267649039
267649039,31060525
31060525,267649039
267649039,31636450
31636450,267649039
267649039,31887414
31887414,267649039
267649039,31970442
